Test,Before,After,Percentage
math_inline_tests::math_u256_log2_fail_x_0,168,161,4.17
math_inline_tests::math_u256_log2_fail_x_0_disable_overflow,198,190,4.04
math_inline_tests::math_u256_log2_fail_x_0_unsafe_math,330,312,5.45
math_inline_tests::math_u256_log_fail_base_0,233,226,3.00
math_inline_tests::math_u256_log_fail_base_0_disable_overflow,263,255,3.04
math_inline_tests::math_u256_log_fail_base_1,233,226,3.00
math_inline_tests::math_u256_log_fail_base_1_disable_overflow,263,255,3.04
math_inline_tests::math_u256_log_fail_x_0,287,276,3.83
math_inline_tests::math_u256_log_fail_x_0_disable_overflow,317,305,3.79
math_inline_tests::math_u256_log_parity_with_ruint,1645530,1585280,3.66
math_inline_tests::math_u256_modulo,416,409,1.68
math_inline_tests::math_u256_modulo_unsafe_math,203,199,1.97
math_inline_tests::math_u256_mul,635,624,1.73
math_inline_tests::math_u256_overflow_add,361,356,1.39
math_inline_tests::math_u256_overflow_mul,183,180,1.64
math_inline_tests::math_u256_overflow_pow,338,330,2.37
math_inline_tests::math_u256_sub,643,631,1.87
math_inline_tests::math_u256_underflow_sub,168,165,1.79
math_inline_tests::math_u256_unsafe_math,801,776,3.12
math_inline_tests::math_u256_zero,83,81,2.41
math_inline_tests::math_u32_0th_root_fail,11,10,9.09
math_inline_tests::math_u32_add,425,408,4.00
math_inline_tests::math_u32_disable_overflow,630,607,3.65
math_inline_tests::math_u32_divide,242,234,3.31
math_inline_tests::math_u32_divide_by_zero_unsafe_math,112,109,2.68
math_inline_tests::math_u32_log2_fail_x_0,10,9,10.00
math_inline_tests::math_u32_log2_fail_x_0_disable_overflow,40,38,5.00
math_inline_tests::math_u32_log2_fail_x_0_unsafe_math,78,75,3.85
math_inline_tests::math_u32_log_fail_base_0,10,9,10.00
math_inline_tests::math_u32_log_fail_base_0_disable_overflow,40,38,5.00
